Precisão/Revocação;jplag-39.csv
0%;1
10%;0,8648598
20%;0,5878437
30%;0,6046545
40%;0,5910315
50%;0,5017102
60%;0,5132261
70%;0,4645033
80%;0,4848458
90%;0,5033406
100%;0,4835602
