Precisão/Revocação;jplag-2.csv
0%;1
10%;0,7260524
20%;0,4266433
30%;0,4713012
40%;0,482467
50%;0,4244105
60%;0,4131191
70%;0,4251012
80%;0,4342268
90%;0,360074
100%;0,2798939
