Precisão/Revocação;jplag-30.csv
0%;1
10%;0,9131653
20%;0,7122163
30%;0,7118721
40%;0,6629057
50%;0,6158168
60%;0,6293027
70%;0,5894993
80%;0,613109
90%;0,6264914
100%;0,5052091
