Precisão/Revocação;jplag-5.csv
0%;1
10%;0,9288302
20%;0,5649423
30%;0,5097665
40%;0,5252183
50%;0,4772781
60%;0,4896697
70%;0,5111796
80%;0,4912132
90%;0,4087837
100%;0,3228073
