LCS;create;insert;0,75
LCS;insert;create;0,75
LCCSS;create;insert;0,75
LCCSS;insert;create;0,75
JPlag;create;insert;1
JPlag;insert;create;0,6470588
Simian;create;insert;0,3333333
Simian;insert;create;0,2727273
Deckard;create;insert;0,5555556
Deckard;insert;create;0,5454545
