Precisão/Revocação;deckard-60-2-1,0.csv
1;0,9347826
2;0,6195652
3;0,5561594
4;0,5449275
5;0,4778985
6;0,4528986
7;0,419617
8;0,3982213
9;0,3894755
10;0,3322723
