Precisão/Revocação;deckard-1-2-0,9.csv
1;0,6304348
2;0,4347826
3;0,4655797
4;0,4427536
5;0,4208074
6;0,4112319
7;0,3901139
8;0,3945982
9;0,4011732
10;0,4109472
