Precisão/Revocação;deckard-40-4-1,0.csv
1;0,8695652
2;0,6086957
3;0,5833333
4;0,5217391
5;0,4813147
6;0,4746377
7;0,4924431
8;0,4822134
9;0,4720152
10;0,4246894
