Precisão/Revocação;jplag-34.csv
0%;1
10%;0,9160503
20%;0,7165341
30%;0,7166232
40%;0,6681992
50%;0,6194067
60%;0,6332377
70%;0,5748687
80%;0,5984435
90%;0,6102728
100%;0,4464202
