Precisão/Revocação;deckard-10-11-1,0.csv
0%;1
10%;0,9411538
20%;0,7536769
30%;0,6871392
40%;0,6534335
50%;0,6808364
60%;0,6875958
70%;0,637503
80%;0,6534694
90%;0,6423149
100%;0,3986306
