Precisão/Revocação;deckard-40-2147483647-1,0.csv
1;0,9347826
2;0,6956522
3;0,6413043
4;0,6242754
5;0,5663044
6;0,5525362
7;0,5240856
8;0,4956357
9;0,4672878
10;0,3902174
