Precisão/Revocação;jplag-49.csv
0%;1
10%;0,8136646
20%;0,451087
30%;0,4018802
40%;0,4125477
50%;0,4468052
60%;0,4569846
70%;0,4778867
80%;0,4975372
90%;0,5153437
100%;0,4950549
