Precisão/Revocação;deckard-11-14-1,0.csv
0%;1
10%;0,9121683
20%;0,5614118
30%;0,4436871
40%;0,388338
50%;0,4107907
60%;0,4242538
70%;0,4475397
80%;0,4692166
90%;0,4886481
100%;0,4403571
