Precisão/Revocação;deckard-9-14-1,0.csv
0%;1
10%;0,8933277
20%;0,5938384
30%;0,5337444
40%;0,502516
50%;0,53944
60%;0,500626
70%;0,4974172
80%;0,5213715
90%;0,5059951
100%;0,3368428
