Precisão/Revocação;deckard-1-4-0,9.csv
1;0,6521739
2;0,4347826
3;0,4655797
4;0,4427536
5;0,4208074
6;0,4112319
7;0,3835576
8;0,3703887
9;0,3685645
10;0,3497671
