Precisão/Revocação;deckard-12-2-1,0.csv
0%;1
10%;0,9331828
20%;0,6540392
30%;0,6313875
40%;0,6307795
50%;0,5585713
60%;0,5630033
70%;0,5654556
80%;0,5857328
90%;0,4983696
100%;0,3665312
