Precisão/Revocação;jplag-11.csv
0%;1
10%;0,9084551
20%;0,5471111
30%;0,5373745
40%;0,4964993
50%;0,4367788
60%;0,4548317
70%;0,4694826
80%;0,4972787
90%;0,5109556
100%;0,4138112
