Precisão/Revocação;jplag-12.csv
0%;1
10%;0,9084551
20%;0,5557463
30%;0,5471958
40%;0,5083063
50%;0,4572196
60%;0,4755763
70%;0,4917278
80%;0,5196572
90%;0,5325056
100%;0,4291562
