Precisão/Revocação;deckard-10-2147483647-1,0.csv
1;0,8913043
2;0,5652174
3;0,5289855
4;0,5565217
5;0,5868012
6;0,5634058
7;0,5418565
8;0,5087286
9;0,4663906
10;0,3813665
