Precisão/Revocação;jplag-46.csv
0%;1
10%;0,8136175
20%;0,4905267
30%;0,5104309
40%;0,5022355
50%;0,4341815
60%;0,4459009
70%;0,4679999
80%;0,4886005
90%;0,5071915
100%;0,4875528
