Precisão/Revocação;deckard-9-3-1,0.csv
0%;1
10%;0,919327
20%;0,6341954
30%;0,574566
40%;0,5175821
50%;0,5343163
60%;0,4991194
70%;0,4965454
80%;0,5203971
90%;0,4691236
100%;0,3227405
