Precisão/Revocação;deckard-8-4-0,9.csv
0%;1
10%;0,753882
20%;0,557833
30%;0,4417364
40%;0,3702631
50%;0,4079293
60%;0,4248268
70%;0,399298
80%;0,4237882
90%;0,4341938
100%;0,4243759
