Precisão/Revocação;deckard-7-15-0,9.csv
0%;1
10%;0,7300687
20%;0,5555882
30%;0,4336621
40%;0,4033262
50%;0,4221358
60%;0,4370623
70%;0,4052372
80%;0,4285364
90%;0,4376906
100%;0,4408203
