Precisão/Revocação;jplag-14.csv
0%;1
10%;0,9131653
20%;0,6084378
30%;0,5992662
40%;0,5760885
50%;0,5116086
60%;0,5269846
70%;0,5163918
80%;0,5423428
90%;0,5573096
100%;0,4538079
