level;test_classes;test_methods;setup_methods;attributes;total_statements;duplicated_statements;duplication_rate
1;2;5;2;2;7;0;0.0
2;2;5;2;2;7;0;0.0
3;2;5;2;2;7;0;0.0
4;2;5;2;2;7;0;0.0
5;2;5;2;2;7;0;0.0
