avaliarAvaliador;avaliarAvaliador;1
avaliarAvaliador;avaliarCoordenadorDeArea;1
avaliarAvaliador;cadastrarFichaDeAvaliacaoComSucesso;0,671875
avaliarAvaliador;cadastrarFichaDeAvaliacaoDuasVezesComSucesso;0,671875
avaliarAvaliador;cadastrarFichaDeAvaliacaoPagina;0,703125
avaliarAvaliador;cadastrarFichaDeAvaliacaoSomatorioDePontosAcimaDe100;0,671875
avaliarAvaliador;cadastrarFichaDeAvaliacaoVerFichaDeAvaliacao;0,71875
avaliarAvaliador;cadastrarFichaDeAvaliacaoVerFichaDeAvaliacaoRecadastrada;0,71875
avaliarAvaliador;cadastrarFichaDeAvaliacaoVerFormulario;0,71875
avaliarAvaliador;distribuirAvaliadoresComMaisDeUmCoordenadorDeArea;0,84375
avaliarAvaliador;distribuirAvaliadoresComSucesso;0,890625
avaliarAvaliador;distribuirAvaliadoresPagina;0,671875
avaliarAvaliador;distribuirAvaliadoresSemAvaliadores;0,84375
avaliarAvaliador;distribuirAvaliadoresSemCoordenadorDeArea;0,84375
avaliarAvaliador;distribuirAvaliadoresSemFichaDeAvaliacao;0,84375
avaliarAvaliador;distribuirAvaliadoresSemPreencherPrazoDeAvaliacao;0,703125
avaliarAvaliador;distribuirAvaliadoresVerPrimeiraProducao;0,890625
avaliarAvaliador;distribuirAvaliadoresVerPrimeiraProducaoAtualizada;0,90625
avaliarAvaliador;distribuirAvaliadoresVerSegundaProducao;0,890625
avaliarAvaliador;distribuirAvaliadoresVerSegundaProducaoAtualizada;0,90625
avaliarAvaliador;importarAvaliadoresCoordenadorArquivoSemCabecalho;0,734375
avaliarAvaliador;importarAvaliadoresCoordenadorArquivoSemDocumento;0,734375
avaliarAvaliador;importarAvaliadoresCoordenadorArquivoVazio;0,734375
avaliarAvaliador;importarAvaliadoresCoordenadorComSucesso;0,734375
avaliarAvaliador;importarAvaliadoresCoordenadorDuasVezesComSucesso;0,734375
avaliarAvaliador;importarAvaliadoresCoordenadorPagina;0,703125
avaliarAvaliador;importarAvaliadoresCoordenadorSemArquivo;0,671875
avaliarAvaliador;importarAvaliadoresCoordenadorVerAvaliadoresDeImportacao;0,734375
